排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value
1,002925,盈趣科技,12.03,28.628987,37.224823,1.717,129.427045,15.613597,21.680662,20260331,21.87,2026-07-31,28.43,63.7,3.27,44.9,2.42,20.43,消费电子,"{2026: 0.707, 2027: 0.796, 2028: 1.021}",0.22,0.216,1.392,快速增长,False,True,True,False,增速放缓; 毛利率上升,61.6,0.22
2,002236,大华股份,10.42,43.765401,24.675877,-1.154,32.769574,1.749021,6.807822,20260331,16.72,2026-07-31,14.01,17.9,1.42,6.8,3.32,4.29,计算机设备,"{2026: 1.143, 2027: 1.192}",0.428,0.388,3.266,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,43.2,0.428
3,688093,世华科技,17.52,56.431501,3.996648,1.314,42.643456,36.750371,-2.065402,20260331,26.04,2026-07-31,18.39,3.1,2.54,14.9,2.69,40.36,其他电子Ⅱ,"{2026: 1.66, 2027: 2.33}",0.431,0.406,0.456,快速增长,False,True,True,False,增速放缓; 毛利率上升,73.9,0.431
4,601138,工业富联,21.65,7.350507,61.382211,2.362,51.985045,48.224376,102.548513,20260331,56.7,2026-07-31,27.68,87.6,6.39,87.4,1.73,62.58,消费电子,"{2026: 1.89, 2027: 2.93, 2028: 4.985}",0.532,0.515,0.442,快速增长,True,True,True,True,增速加速; 毛利率上升; 高负债(>60%),64.1,0.532
5,300684,中石科技,16.2,33.999656,14.826891,2.535,68.119676,17.13726,4.942389,20260331,43.31,2026-07-31,37.97,43.6,5.81,57.5,1.71,44.92,电子化学品Ⅱ,"{2026: 1.18, 2027: 1.71}",0.557,0.544,0.845,快速增长,False,True,True,False,增速放缓; 毛利率上升,67.5,0.557
6,600183,生益科技,21.25,28.10132,44.031184,0.494,91.753196,39.448096,105.472358,20260331,105.64,2026-07-31,65.32,97.9,14.31,97.9,1.14,65.29,元件,"{2026: 1.615, 2027: 2.07, 2028: 4.19}",0.712,0.703,1.0,快速增长,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,67.2,0.712
7,688550,瑞联新材,9.85,37.973244,9.612867,-0.021,22.865627,14.91446,-4.336028,20260331,35.84,2026-07-31,20.53,9.8,1.89,35.7,2.51,15.04,电子化学品Ⅱ,"{2026: 2.32, 2027: 2.65, 2028: 3.07}",0.898,0.809,1.365,快速增长,False,False,False,False,增速放缓; 现金流质量偏弱,28.2,0.898
