排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value
1,002772,众兴菌业,9.87,39.348857,52.908157,0.949,161.630071,8.429801,237.548664,20260331,10.24,2026-07-31,8.54,0.6,1.06,37.1,4.39,11.63,种植业,"{2026: 0.98, 2027: 1.06, 2028: 1.22}",0.053,0.051,0.734,快速增长,True,True,True,False,增速加速; 毛利率上升,65.6,0.053
2,002299,圣农发展,12.59,13.665879,53.495503,0.202,90.545359,8.11875,71.407853,20260331,16.72,2026-07-31,13.99,20.9,1.81,11.2,4.19,24.44,养殖业,"{2026: 1.03, 2027: 1.21, 2028: 1.59}",0.155,0.148,0.572,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,39.8,0.155
3,600887,伊利股份,20.87,38.374706,59.498365,0.692,36.819567,0.130896,10.67985,20260331,27.1,2026-07-31,14.18,5.6,2.88,5.2,9.59,7.95,饮料乳品,"{2026: 1.94, 2027: 2.06, 2028: 2.26}",0.385,0.306,1.784,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,62.1,0.385
4,600873,梅花生物,21.48,9.528723,36.780702,-9.799,19.721476,-3.432938,-88.42444,20260331,8.13,2026-07-31,9.58,28.2,1.39,1.8,5.27,4.27,化学制品,"{2026: 1.22, 2027: 1.36, 2028: 1.32}",0.486,0.383,2.244,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,29.6,0.486
5,300119,瑞普生物,8.76,39.729878,32.434892,0.105,33.183845,10.701384,-7.075451,20260331,17.02,2026-07-31,20.16,14.5,1.64,11.6,4.11,16.95,动物保健Ⅱ,"{2026: 1.17, 2027: 1.18, 2028: 1.57}",0.608,0.541,1.189,快速增长,False,False,False,False,增速放缓; 现金流质量偏弱,31.7,0.608
6,002956,西麦食品,10.99,44.078619,26.939471,1.899,28.927636,18.111836,85.859428,20260331,18.18,2026-07-31,26.0,15.8,3.31,68.3,5.26,27.24,休闲食品,"{2026: 1.01, 2027: 1.27, 2028: 1.635}",0.899,0.761,0.954,快速增长,True,True,True,False,增速加速; 毛利率上升,72.9,0.899
